===== BACKTEST REPORT FOR: signals_2025-08-26_01-27-45.json =====
Signal Generation Time (UTC): 2025-08-25 19:57:45

--- BUY SIGNALS ---
  (none)

--- SELL SIGNALS ---
        Coin Signal  Confidence  Deserving_Strong Outcome  Duration(min)  Estimated_Profit(%)            TP            SL       RSI        %B  Num_Conf  Vol_Profile_OK  Overshoot_OK  Min_Profit_OK Did_TP_Hit_Later
     ETHUSDT   Sell          47             False Success            1.0                  5.0   4415.275429   4478.804571 19.647030  0.068541       1.0            True         False           True              N/A
     BTCUSDT   Sell          47             False Success           13.0                  5.0 110115.800000 111700.200000 26.238822  0.033103       1.0            True         False           True              N/A
     SOLUSDT   Sell          47             False Success           12.0                  5.0    190.261214    192.998786 21.045686  0.109770       1.0            True         False           True              N/A
     XRPUSDT   Sell          47             False Success           12.0                  5.0      2.867868      2.909132 23.520055 -0.001759       1.0            True         False           True              N/A
    DOGEUSDT   Sell          47             False Success           12.0                  5.0      0.212511      0.215569 28.951067  0.039026       1.0            True         False           True              N/A
     ADAUSDT   Sell          47             False Success           12.0                  5.0      0.846411      0.858589 28.529310  0.014772       1.0            True         False           True              N/A
    LINKUSDT   Sell          47             False Success            0.0                  5.0     23.630993     23.971007 29.643515  0.108323       1.0            True         False           True              N/A
1000PEPEUSDT   Sell          47             False Success           12.0                  5.0      0.009854      0.009996 31.024017  0.023659       1.0            True         False           True              N/A
     SUIUSDT   Sell          47             False Success           13.0                  5.0      3.358141      3.406459 25.951742  0.018080       1.0            True         False           True              N/A
     BIOUSDT   Sell          47             False    Fail            6.0                  5.0      0.200398      0.203282 41.413444  0.177002       1.0            True         False           True              Yes
     BNBUSDT   Sell          47             False Success           35.0                  5.0    849.409143    861.630857 25.224580 -0.069756       1.0            True         False           True              N/A
     ONTUSDT   Sell          47             False Success            0.0                  5.0      0.192714      0.195486 47.174229  0.155788       1.0            True         False           True              N/A
     ENAUSDT   Sell          47             False Success           13.0                  5.0      0.630663      0.639737 32.300039  0.118007       1.0            True         False           True              N/A
    AVAXUSDT   Sell          47             False Success           13.0                  5.0     23.432421     23.769579 30.280204  0.051904       1.0            True         False           True              N/A
    HYPEUSDT   Sell          47             False    Fail            4.0                  5.0     43.628129     44.255871 26.349163  0.111477       1.0            True         False           True              Yes
FARTCOINUSDT   Sell          47             False Success           11.0                  5.0      0.815334      0.827066 22.088305  0.038570       1.0            True         False           True              N/A
  PROMPTUSDT   Sell          47             False    Fail            0.0                  5.0      0.334295      0.339105 35.644028  0.026942       1.0            True         False           True              Yes
     LTCUSDT   Sell          47             False Success           12.0                  5.0    108.757571    110.322429 25.701414  0.013548       1.0            True         False           True              N/A
     WIFUSDT   Sell          47             False Success           12.0                  5.0      0.781379      0.792621 24.550051  0.023701       1.0            True         False           True              N/A
     ARBUSDT   Sell          47             False Success           12.0                  5.0      0.520059      0.527541 26.939667  0.044260       1.0            True         False           True              N/A
    AAVEUSDT   Sell          47             False Success           11.0                  5.0    315.500214    320.039786 27.520923  0.074867       1.0            True         False           True              N/A
    MEMEUSDT   Sell          47             False Success            8.0                  5.0      0.003395      0.003443 35.534617  0.004626       1.0            True         False           True              N/A
     UNIUSDT   Sell          47             False Success           11.0                  5.0      9.711136      9.850864 25.990351  0.021439       1.0            True         False           True              N/A
   PENGUUSDT   Sell          47             False Success           12.0                  5.0      0.029982      0.030414 26.403011  0.064354       1.0            True         False           True              N/A
   TRUMPUSDT   Sell          47             False Success           12.0                  5.0      8.177171      8.294829 25.577609  0.027252       1.0            True         False           True              N/A
