===== BACKTEST REPORT FOR: signals_2025-08-26_01-57-10.json =====
Signal Generation Time (UTC): 2025-08-25 20:27:10

--- BUY SIGNALS ---
  (none)

--- SELL SIGNALS ---
        Coin Signal  Confidence  Deserving_Strong Outcome  Duration(min)  Estimated_Profit(%)            TP            SL       RSI       %B  Num_Conf  Vol_Profile_OK  Overshoot_OK  Min_Profit_OK Did_TP_Hit_Later
     BTCUSDT   Sell          47             False Success            6.0                  5.0 109562.580000 111139.020000 33.059361 0.196888       1.0            True         False           True              N/A
     SOLUSDT   Sell          47             False Success            4.0                  5.0    188.384714    191.095286 24.345659 0.182752       1.0            True         False           True              N/A
    DOGEUSDT   Sell          47             False Success            3.0                  5.0      0.210704      0.213736 30.740756 0.147879       1.0            True         False           True              N/A
1000PEPEUSDT   Sell          47             False Success            4.0                  5.0      0.009729      0.009869 31.846396 0.160689       1.0            True         False           True              N/A
     BIOUSDT   Sell          47             False Success            2.0                  5.0      0.197013      0.199847 36.449374 0.112990       1.0            True         False           True              N/A
FARTCOINUSDT   Sell          47             False Success            2.0                  5.0      0.800938      0.812462 27.497559 0.189950       1.0            True         False           True              N/A
  PROMPTUSDT   Sell          47             False Success            0.0                  5.0      0.329728      0.334472 34.510312 0.095132       1.0            True         False           True              N/A
     WIFUSDT   Sell          47             False Success            3.0                  5.0      0.771946      0.783054 30.022242 0.167769       1.0            True         False           True              N/A
    MEMEUSDT   Sell          47             False Success            4.0                  5.0      0.003364      0.003412 33.400808 0.130691       1.0            True         False           True              N/A
   TRUMPUSDT   Sell          41             False Success            4.0                  5.0      8.100721      8.217279 31.155054 0.166142       1.0           False         False           True              N/A
     WLDUSDT   Sell          47             False Success            4.0                  5.0      0.883643      0.896357 29.554630 0.155195       1.0            True         False           True              N/A
    PUMPUSDT   Sell          47             False    Fail            2.0                  5.0      0.002650      0.002688 25.959129 0.078567       1.0            True         False           True              Yes
1000BONKUSDT   Sell          47             False Success            4.0                  5.0      0.020049      0.020337 28.760289 0.146169       1.0            True         False           True              N/A
     FILUSDT   Sell          47             False Success            4.0                  5.0      2.184286      2.215714 28.899474 0.155891       1.0            True         False           True              N/A
1000SHIBUSDT   Sell          47             False Success            4.0                  5.0      0.011948      0.012120 31.395567 0.158543       1.0            True         False           True              N/A
     BCHUSDT   Sell          47             False Success            5.0                  5.0    545.158000    553.002000 30.503260 0.156295       1.0            True         False           True              N/A
    NEARUSDT   Sell          47             False Success            4.0                  5.0      2.397750      2.432250 34.930244 0.171901       1.0            True         False           True              N/A
    BOMEUSDT   Sell          47             False Success            3.0                  5.0      0.001975      0.002003 30.753683 0.115772       1.0            True         False           True              N/A
      OPUSDT   Sell          47             False Success            3.0                  5.0      0.693114      0.703086 32.207982 0.185915       1.0            True         False           True              N/A
     TIAUSDT   Sell          47             False Success            3.0                  5.0      1.617761      1.641039 29.383077 0.175278       1.0            True         False           True              N/A
     TAOUSDT   Sell          47             False Success            3.0                  5.0    321.953786    326.586214 29.784449 0.161862       1.0            True         False           True              N/A
 VIRTUALUSDT   Sell          47             False Success            3.0                  5.0      1.111801      1.127799 28.078769 0.162797       1.0            True         False           True              N/A
    IOSTUSDT   Sell          47             False Success            4.0                  5.0      0.003896      0.003952 56.598987 1.001519       1.0           False          True           True              N/A
     XPLUSDT   Sell          47             False Success            8.0                  5.0      0.528101      0.535699 34.878714 0.079294       1.0            True         False           True              N/A
     SEIUSDT   Sell          47             False Success            4.0                  5.0      0.282269      0.286331 32.620245 0.204097       1.0            True         False           True              N/A
     DIAUSDT   Sell          47             False Success            2.0                  5.0      0.724885      0.735315 39.253196 0.088020       1.0            True         False           True              N/A
     CFXUSDT   Sell          47             False Success            2.0                  5.0      0.169491      0.171929 25.473633 0.163726       1.0            True         False           True              N/A
     TONUSDT   Sell          47             False Success            4.0                  5.0      3.117274      3.162126 33.582109 0.199339       1.0            True         False           True              N/A

Summary:
  Total: 66  Success: 27  Fail: 1  Inconclusive: 38
