===== BACKTEST REPORT FOR: signals_2025-09-04_20-26-57_STRONG.json =====
Signals processed: 70

--- BUY SIGNALS ---
                             SourceFile         Coin Signal  Confidence      Outcome  Duration(min)  Did_TP_Hit  Buy_Score  Sell_Score Num_Confluence_Buy Num_Confluence_Sell  Regime Estimated_Profit  DeservedStrongBuy  DeservedStrongSell                    SignalTimeUTC                    SignalTimeIST     rsi5m  williamsR      cci5m     cmf5m stc5m tsi5m   cvd5m hma5m alma5m  macd5m_macd  macd5m_signal  macd5m_hist  boll_upper  boll_middle  boll_lower  keltner_upper  keltner_middle  keltner_lower  marketTrend  RSI_buy_score  WilliamsR_buy_score  CCI_buy_score  CMF_buy_score  CVD_buy_score  HMA_buy_score  ALMA_buy_score  MACD_buy_score  RSI_sell_score  WilliamsR_sell_score  CCI_sell_score  CMF_sell_score  CVD_sell_score  HMA_sell_score  ALMA_sell_score  MACD_sell_score  Bollinger_buy_score  Keltner_buy_score  Bollinger_sell_score  Keltner_sell_score
signals_2025-09-04_20-26-57_STRONG.json     SOMIUSDT    Buy          40      Success          172.0        True       40.0          40               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:20.768285+00:00 2025-09-04T20:26:20.768285+05:30 55.839594 -18.120805  63.121487  0.045048  None  None falling    up     up     0.000734       0.000148     0.000586    0.398386     0.392270    0.386154       0.397370        0.392270       0.387170        -10.0            0.0                  0.0            0.0           10.0            0.0           10.0            10.0            10.0             0.0                  15.0             0.0             0.0            15.0             0.0              0.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json 1000BONKUSDT    Buy          40 Inconclusive            NaN       False       40.0          35               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:31.938651+00:00 2025-09-04T20:26:31.938651+05:30 39.775552 -57.065217 -45.835597 -0.246347  None  None falling    up     up    -0.000072      -0.000075     0.000004    0.019754     0.019511    0.019267       0.019703        0.019511       0.019319        -10.0           10.0                  0.0            0.0            0.0            0.0           10.0            10.0            10.0             0.0                   0.0             0.0            10.0            15.0             0.0              0.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json        QUSDT    Buy          40      Success            4.0        True       40.0          35               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:38.793683+00:00 2025-09-04T20:26:38.793683+05:30 39.790958 -51.271186 -64.202232 -0.073722  None  None falling    up     up    -0.000062      -0.000068     0.000006    0.008565     0.008419    0.008273       0.008556        0.008419       0.008282        -10.0           10.0                  0.0            0.0            0.0            0.0           10.0            10.0            10.0             0.0                   0.0             0.0            10.0            15.0             0.0              0.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json     HEMIUSDT    Buy          40         Fail          137.0       False       40.0          25               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:40.506741+00:00 2025-09-04T20:26:40.506741+05:30 47.110653 -49.255441  -8.788418  0.156466  None  None falling    up     up    -0.000055      -0.000072     0.000017    0.034851     0.034476    0.034101       0.034862        0.034476       0.034090        -10.0            0.0                  0.0            0.0           10.0            0.0           10.0            10.0            10.0             0.0                   0.0             0.0             0.0            15.0             0.0              0.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json     MERLUSDT    Buy          50      Success            3.0        True       50.0          40               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:43.943820+00:00 2025-09-04T20:26:43.943820+05:30 55.190332  -9.429825 125.440288  0.075549  None  None falling    up     up    -0.000606      -0.000960     0.000354    0.163631     0.161611    0.159590       0.163515        0.161610       0.159706        -10.0            0.0                  0.0           10.0           10.0            0.0           10.0            10.0            10.0             0.0                  15.0             0.0             0.0            15.0             0.0              0.0              0.0                  NaN                NaN                   NaN                 NaN

--- SELL SIGNALS ---
                             SourceFile           Coin      Signal  Confidence      Outcome  Duration(min)  Did_TP_Hit  Buy_Score  Sell_Score Num_Confluence_Buy Num_Confluence_Sell  Regime Estimated_Profit  DeservedStrongBuy  DeservedStrongSell                    SignalTimeUTC                    SignalTimeIST     rsi5m  williamsR       cci5m     cmf5m stc5m tsi5m   cvd5m hma5m alma5m  macd5m_macd  macd5m_signal  macd5m_hist    boll_upper   boll_middle    boll_lower  keltner_upper  keltner_middle  keltner_lower  marketTrend  RSI_buy_score  WilliamsR_buy_score  CCI_buy_score  CMF_buy_score  CVD_buy_score  HMA_buy_score  ALMA_buy_score  MACD_buy_score  RSI_sell_score  WilliamsR_sell_score  CCI_sell_score  CMF_sell_score  CVD_sell_score  HMA_sell_score  ALMA_sell_score  MACD_sell_score  Bollinger_buy_score  Keltner_buy_score  Bollinger_sell_score  Keltner_sell_score
signals_2025-09-04_20-26-57_STRONG.json        ETHUSDT Strong Sell          55      Success           15.0        True       20.0          55               None                None Bearish            5.04%                  0                   0 2025-09-04T14:55:58.406771+00:00 2025-09-04T20:25:58.406771+05:30 36.809798 -64.611832  -61.758354 -0.145183  None  None falling  down   down   -12.067615     -12.650899     0.583284   4403.988621   4362.815500   4321.642379    4399.175500     4362.815500    4326.455500        -10.0           10.0                  0.0            0.0            0.0            0.0            0.0             0.0            10.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json        BTCUSDT Strong Sell          55 Inconclusive            NaN       False       20.0          55               None                None Bearish            5.04%                  0                   0 2025-09-04T14:55:59.279220+00:00 2025-09-04T20:25:59.279220+05:30 34.881139 -72.081391  -64.424929 -0.217672  None  None falling  down   down  -192.172428    -195.450129     3.277701 110845.297908 110188.285000 109531.272092  110697.085000   110188.285000  109679.485000        -10.0           10.0                  0.0            0.0            0.0            0.0            0.0             0.0            10.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json        SOLUSDT Strong Sell          65      Success           14.0        True       10.0          65               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:00.150259+00:00 2025-09-04T20:26:00.150259+05:30 39.726033 -65.909091  -73.285505 -0.213298  None  None falling  down   down    -0.430430      -0.422462    -0.007968    208.160300    206.427500    204.694700     207.997500      206.427500     204.857500        -10.0           10.0                  0.0            0.0            0.0            0.0            0.0             0.0             0.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0             10.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json     ALPACAUSDT Strong Sell          60 Inconclusive            NaN       False       25.0          60               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:01.000799+00:00 2025-09-04T20:26:01.000799+05:30       NaN        NaN    0.000000       NaN  None  None falling  down   down     0.000000       0.000000     0.000000      1.190000      1.190000      1.190000       1.190000        1.190000       1.190000        -10.0            NaN                  NaN            0.0            NaN            0.0            0.0             0.0             0.0             NaN                   NaN             0.0             NaN            15.0            10.0             10.0              0.0                 15.0               10.0                  15.0                 NaN
signals_2025-09-04_20-26-57_STRONG.json       WLFIUSDT        Sell          45      Success            4.0        True       30.0          45               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:01.864854+00:00 2025-09-04T20:26:01.864854+05:30 33.936571 -44.943820  -52.675938  0.027995  None  None falling  down   down    -0.002700      -0.002807     0.000108      0.179056      0.169550      0.160044       0.177250        0.169550       0.161850        -10.0           10.0                  0.0            0.0           10.0            0.0            0.0             0.0            10.0             0.0                   0.0             0.0             0.0            15.0            10.0             10.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json        XRPUSDT Strong Sell          55      Success           17.0        True       10.0          55               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:02.726466+00:00 2025-09-04T20:26:02.726466+05:30 50.979530 -29.533679   36.935734 -0.169081  None  None falling  down   down    -0.000455      -0.002332     0.001877      2.847688      2.828750      2.809812       2.845300        2.828750       2.812200        -10.0            0.0                  0.0            0.0            0.0            0.0            0.0             0.0            10.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0              0.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json       DOGEUSDT Strong Sell          65      Success           14.0        True       10.0          65               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:03.586033+00:00 2025-09-04T20:26:03.586033+05:30 39.346316 -55.136986  -63.087833 -0.276281  None  None falling  down   down    -0.000426      -0.000423    -0.000003      0.216894      0.214803      0.212712       0.216628        0.214803       0.212978        -10.0           10.0                  0.0            0.0            0.0            0.0            0.0             0.0             0.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0             10.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json          MUSDT Strong Sell         110         Fail            6.0       False       30.0         110               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:04.446681+00:00 2025-09-04T20:26:04.446681+05:30 70.013312 -13.353338  190.424669  0.140660  None  None falling  down   down     0.033399       0.028928     0.004471      1.425494      1.358130      1.290766       1.419730        1.358130       1.296530        -10.0            0.0                  0.0           10.0           10.0            0.0            0.0             0.0            10.0            25.0                  15.0             0.0             0.0            15.0            10.0             10.0              0.0                  NaN                NaN                  15.0                10.0
signals_2025-09-04_20-26-57_STRONG.json        ENAUSDT Strong Sell          75      Success           14.0        True       40.0          75               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:05.306877+00:00 2025-09-04T20:26:05.306877+05:30 28.520712 -97.916667 -120.982987 -0.290100  None  None falling  down   down    -0.003019      -0.002645    -0.000374      0.700551      0.691660      0.682769       0.699460        0.691660       0.683860        -10.0           25.0                 15.0            0.0            0.0            0.0            0.0             0.0             0.0             0.0                   0.0            10.0            10.0            15.0            10.0             10.0             10.0                  NaN                NaN                   NaN                 NaN
signals_2025-09-04_20-26-57_STRONG.json       IDOLUSDT Strong Sell          65      Success            3.0        True        NaN          65               None                None Bearish            5.04%                  0                   0 2025-09-04T14:56:06.162429+00:00 2025-09-04T20:26:06.162429+05:30 49.650559 -67.073171    7.582731 -0.099827  None  None falling  down   down    -0.000047      -0.000038    -0.000009      0.039489      0.038888      0.038288       0.039469        0.038889       0.038309        -10.0            0.0                  0.0            0.0            0.0            0.0            0.0             0.0             0.0             0.0                   0.0             0.0            10.0            15.0            10.0             10.0             10.0                  NaN                NaN                   NaN                 NaN
